,deck,word,meaning,example
36,Basic VI,belittle,"verb: lessen the importance, dignity, or reputation of","A good teacher will never belittle his students, but will instead empower them."
37,Basic VI,preempt,verb: take the place of or have precedence over,A governmental warning about an imminent terrorist attack would preempt ordinary network programming on television.
38,Basic VI,emulate,"verb: strive to equal or match, especially by imitating; compete with successfully","To really become fluent in a new language, emulate the speech patterns of people who speak the language."
39,Basic VI,avert,verb: turn away,"Afraid to see the aftermath of the car crash, I averted my eyes as we drove by."
40,Basic VI,incumbent,adjective: necessary (for someone) as a duty or responsibility,"Middle managers at times make important decisions, but real responsibility for the financial well-being of the corporation is ultimately incumbent on the CEO."
41,Basic VI,cavalier,adjective: given to haughty disregard of others,Percy dismissed the issue with a cavalier wave of his hand.
42,Basic VI,forthright,adjective: characterized by directness in manner or speech; without subtlety or evasion,"I did not expect the insurance agent to give us any straight answers, but I was pleasantly surprised by how forthright he was."
43,Basic VI,lethargic,adjective: lacking energy,Nothing can make a person more lethargic than a big turkey dinner.
44,Basic VI,conundrum,noun: a difficult problem,Computers have helped solve some of the mathematical conundrums which have puzzled man for many centuries.
45,Basic VI,consecrate,verb: to make holy or set apart for a high purpose,"At the church of Notre Dame in France, the new High Altar was consecrated in 1182."
46,Basic VI,cohesive,"adjective: well integrated, forming a united whole","A well-written, cohesive essay will keep on topic at all times, never losing sight of the main argument."
47,Basic VI,humdrum,adjective: dull and lacking excitement,"Having grown up in a humdrum suburb, Jacob relished life in New York City after moving."
48,Basic VI,profusion,noun: the property of being extremely abundant,"When Maria reported that she had been visited by Jesus Christ and had proof, a profusion of reporters and journalists descended on the town."
49,Basic VI,veneer,noun: covering consisting of a thin superficial layer that hides the underlying substance,"Mark Twain referred to the Victorian Period in America as the ""Gilded Age"", implying the ample moral corruption that lay beneath a mere veneer of respectability."
