,deck,word,meaning,example
21,Common Words V,sporadic,adjective: recurring in scattered and irregular or unpredictable instances,"The signals were at first sporadic, but now we detect a clear, consistent pattern of electromagnetic radiation emanating from deep space."
22,Common Words V,lionize,verb: assign great social importance to,"Students in the U.S. learn to lionize Jefferson, Franklin, and Washington because they are the founding fathers of the nation."
23,Common Words V,brazen,adjective: unrestrained by convention or propriety,"Their large ""donations"" to the local police department gave the drug cartel the brazen confidence to do their business out in the open."
24,Common Words V,circumscribe,verb: restrict or confine,Their tour of South America was circumscribed so that they saw only popular destinations and avoided the dangerous parts of cities.
25,Common Words V,pedestrian,adjective: lacking imagination,"While Nan was always engaged in philosophical speculation, her brother was occupied with far more pedestrian concerns: how to earn a salary and run a household."
26,Common Words V,constituent,noun: a citizen who is represented in a government by officials for whom he or she votes,The mayor's constituents are no longer happy with her performance and plan to vote for another candidate in the upcoming election.
27,Common Words V,hegemony,noun: dominance over a certain area,"Until the Spanish Armada was defeated in 1587, Spain had hegemony over the seas, controlling waters stretching as far as the Americas."
28,Common Words V,irrevocable,adjective: incapable of being retracted or revoked,"Once you enter your plea to the court, it is irrevocable so think carefully about what you will say."
29,Common Words V,myriad,noun: a large indefinite number,There are a myriad of internet sites hawking pills that claim to boost energy for hours on end.
30,Common Words V,inimical,adjective: hostile (usually describes conditions or environments),"Venus, with a surface temperature that would turn rubber to liquid, is inimical to any form of life."
31,Common Words V,sycophant,noun: a person who tries to please someone in order to gain a personal advantage,"The CEO was unaware of the damaging consequences of his choices, largely because he surrounded himself with sycophants who would never dare criticize him."
32,Common Words V,rescind,verb: cancel officially,"The man's driver's license was rescinded after his tenth car accident, which meant he would never be allowed to legally drive again."
33,Common Words V,poignant,adjective: emotionally touching,"After the Montagues and Capulets discover the dead bodies of Romeo and Juliet, in the play's most poignant moment, the two griefstricken families agree to end their feud once and for all."
34,Common Words V,antithetical,adjective: sharply contrasted in character or purpose,"His deep emotional involvement with these ideas is, in fact, antithetical to the detachment Buddhism preaches."
35,Common Words V,taciturn,adjective: habitually reserved and uncommunicative,"While the CEO enthusiastically shares his plans and agenda with all who will listen, the CFO is far more taciturn, rarely revealing his perspective."
36,Common Words V,tempered,adjective: moderated in effect,The wide-eyed optimism of her youth was now tempered after she had worked many years in the criminal justice system.
37,Common Words V,tractable,adjective: readily reacting to suggestions and influences; easily managed (controlled or taught or molded),"Compared to middle school students, who have an untamed wildness about them, high school students are somewhat more tractable."
38,Common Words V,reverent,adjective: feeling or showing profound respect or veneration,"The professor could speak objectively about the other composers, but he always lectured about Brahms with a particularly reverent air, unable to offer a single criticism of his compositions."
39,Common Words V,ostracize,verb: exclude from a community or group,"Later in his life, Leo Tolstoy was ostracized from the Russian Orthodox Church for his writings that contradicted church doctrine."
40,Common Words V,dilettante,noun: an amateur who engages in an activity without serious intentions and who pretends to have knowledge,"Fred has no formal medical training; while he likes to claim authority on medical issues, he is little more than a dilettante."
41,Common Words V,garrulous,adjective: full of trivial conversation,"Lynne was garrulous: once, she had a fifteen minute conversation with a stranger before she realized the woman didn't speak English."
42,Common Words V,repudiate,verb: reject as untrue or unfounded,"Many in the public believed the rumors of a UFO crash outside town, so the chief of police did everything he could to repudiate the rumors."
43,Common Words V,prolific,adjective: intellectually productive,"Schubert was the most prolific composer, producing hundreds of hours of music before he died at the age of 31."
44,Common Words V,ravenous,adjective: extremely hungry; devouring or craving food in great quantities,"John didn't eat much at all during the week he had the flu, so now that he is regaining his health, it's not surprising that he has a ravenous appetite."
45,Common Words V,Magoosh Practice Questions,noun: Test your understanding of concepts from lesson videos. Learn more at http://gre.magoosh.com,Zach got 7/7 questions correct on a practice session using Magoosh practice questions.
46,Common Words V,accolade,noun: an award or praise granted as a special honor,"Jean Paul-Sartre was not a fan of accolades, and as such, he refused to accept the Nobel Prize for Literature in 1964."
47,Common Words V,admonish,"verb: to warn strongly, even to the point of reprimanding","Before the concert began, security personnel admonished the crowd not to come up on stage during the performance."
48,Common Words V,insolent,adjective: rude and arrogant,"Lilian could not help herself from being insolent, commenting that the Queen's shoes were showing too much toe."
49,Common Words V,austere,adjective: practicing self-denial,His lifestyle of revelry and luxurious excess could hardly be called austere.
50,Common Words V,haphazard,adjective: marked by great carelessness; dependent upon or characterized by chance,"Many golf courses are designed with great care, but the greens on the county golf course seem entirely haphazard."
