,deck,word,meaning,example
26,Common Words II,cryptic,"adjective: mysterious or vague, usually intentionally","Since Sarah did not want her husband to guess the Christmas present she had bought him, she only answered cryptically when he would ask her questions about it."
27,Common Words II,fortuitous,adjective: occurring by happy chance; having no cause or apparent cause,Missing my train turned out to be quite fortuitous since I ran into a childhood friend on the next train and we were able to reconnect after so many years.
28,Common Words II,diffident,adjective: showing modest reserve; lacking self-confidence,"As a young girl she was diffident and reserved, but now as an adult, she is confident and assertive."
29,Common Words II,obscure,verb: make unclear,"On the Smith's drive through the Grand Canyon, Mr. Smith's big head obscured much of Mrs. Robinson's view, so that she only saw momentary patches of red rock."
30,Common Words II,reticent,"adjective: disinclined to talk, not revealing one's thoughts","When asked about her father, Helen lost her outward enthusiasm and became rather reticent."
31,Common Words II,didactic,adjective: instructive (especially excessively),"Tolstoy's The Death of Ivan Ilyich is a didactic novel, instructing the reader on how to live a good life."
32,Common Words II,conspicuous,adjective: without any attempt at concealment; completely obvious,"Among the tall trees and flower fields, the building seemed out of place with its conspicuous, cold concrete and angular steel exterior."
33,Common Words II,gossamer,adjective: characterized by unusual lightness and delicacy,"The gossamer wings of a butterfly, which allow it to fly, are also a curse, so delicate that they are often damaged."
34,Common Words II,deferential,adjective: showing respect,"If you ever have the chance to meet the president, stand up straight and be deferential."
35,Common Words II,apathetic,adjective: marked by a lack of interest,Mr. Thompson was so talented at teaching math that even normally apathetic students took interest.
36,Common Words II,exacerbate,verb: make worse,"Her sleeplessness exacerbated her cold--when she woke up the next day, her sinuses were completely blocked."
37,Common Words II,gainsay,verb: deny or contradict; speak against or oppose,"I can't gainsay a single piece of evidence James has presented, but I still don't trust his conclusion."
38,Common Words II,impudent,adjective: improperly forward or bold,"In an impudent move, the defendant spoke out of order to say terribly insulting things to the judge."
39,Common Words II,aesthete,noun: one who professes great sensitivity to the beauty of art and nature,"A true aesthete, Marty would spend hours at the Guggenheim Museum, staring at the same Picasso."
40,Common Words II,querulous,adjective: habitually complaining,The querulous old woman was beginning to wear down even the happier members of the staff with her ceaseless complaining.
41,Common Words II,mitigate,verb: make less severe or harsh,"I can only spend so much time mitigating your disagreements with your wife, and at certain point, you need to do it on your own."
42,Common Words II,chortle,"verb: to chuckle, laugh merrily, often in a breathy, muffled way","Walking into the cafe, I could hear happy, chortling people and smell the rich aroma of roasted coffee beans."
43,Common Words II,decorous,adjective: characterized by good taste in manners and conduct,"Sally's parties are decorous affairs, and instead of the usual beer and music, there is tea and intellectual conversation."
44,Common Words II,gall,noun: the trait of being rude and impertinent,"The speeding car had the gall to switch five lanes at once, run through a red light, and then cut off a police car before finally coming to a stop in front of a sea of flashing red lights."
45,Common Words II,torpor,noun: inactivity resulting from lethargy and lack of vigor or energy,"After work, I was expecting my colleagues to be enthusiastic about the outing, but I found them in a state of complete torpor."
46,Common Words II,frivolous,adjective: not serious in content or attitude or behavior,"Compared to Juliet's passionate concern for human rights, Jake's non-stop concern about football seems somewhat frivolous."
47,Common Words II,meticulous,adjective: marked by extreme care in treatment of details,The Japanese noodle maker was meticulous in making his noodles and would never let another person take over the task.
48,Common Words II,engender,verb: give rise to,The restrictions of the Treaty of Versailles were so severe that they engendered deep hatred and resentment in the German people.
49,Common Words II,dictatorial,adjective: expecting unquestioning obedience; characteristic of an absolute ruler,The coach was dictatorial in his approach: no players could ever argue or question his approach.
50,Common Words II,dogmatic,"adjective: highly opinionated, not accepting that one's own beliefs may not be correct","Bryan is dogmatic in his belief that the earth is flat, claiming that all pictures of a spherical earth are computer generated."
