,deck,word,meaning,example
15,Basic VII,staid,adjective: characterized by dignity and propriety,"Frank came from a staid environment, so he was shocked that his college roommate sold narcotics."
16,Basic VII,malodorous,adjective: having an unpleasant smell,Some thermally active fountains spew sulfur fumes--the air around them is sometimes so malodorous that many have to plug their noses.
17,Basic VII,sordid,adjective: involving ignoble actions and motives; arousing moral distaste and contempt; foul and run-down and repulsive,"The nightly news simply announced that the senator had had an affair, but the tabloid published all the sordid details of the interaction."
18,Basic VII,stymie,verb: hinder or prevent the progress or accomplishment of,The engineers found their plans stymied at every turn and were ultimately able to make almost no progress on the project.
19,Basic VII,debunk,"verb: expose as false ideas and claims, especially while ridiculing","Richard Dawkins tries to debunk religious belief, but his ridicule tends to push people away from his points rather than convince them."
20,Basic VII,aphorism,noun: a short instructive saying about a general truth,"Nietzsche was known for using aphorisms, sometimes encapsulating a complex philosophical thought in a mere sentence."
21,Basic VII,dilapidated,adjective: in terrible condition,The main house has been restored but the gazebo is still dilapidated and unusable.
22,Basic VII,chivalrous,adjective: being attentive to women like an ideal knight,"Medieval tales are full of stories of chivalry, in which a young knight must commit deeds of heroism to win the hand of a fair maiden."
23,Basic VII,cumbersome,adjective: difficult to handle or use especially because of size or weight,"Only ten years ago, being an avid reader and a traveler meant carrying a cumbersome backpack stuffed with books--these days we need only an e-reader."
24,Basic VII,besiege,"verb: harass, as with questions or requests; cause to feel distressed or worried","After discovering a priceless artifact in her backyard, Jane was besieged by phone calls, emails, and reporters all trying to buy, hold or see the rare piece of history."
25,Basic VII,paradoxical,adjective: seemingly contradictory but nonetheless possibly true,"That light could be both a particle and a wave seems paradoxical, but nonetheless, it is true."
26,Basic VII,balk,verb: refuse to comply,"The students were willing to clean up the broken glass, but when the teacher asked them to mop the entire floor, they balked, citing reasons why they needed to leave."
27,Basic VII,inarticulate,adjective: without or deprived of the use of speech or words,"Although a brilliant economist, Professor Wilson was completely inarticulate, a terrible lecturer."
28,Basic VII,discreet,adjective: careful to protect one's speech or actions in order to avoid offense or draw attention,"The professor thought that he was discreet, subtly wiping the stain off of his shirt, but as soon as he stepped off the podium a heckler in the audience burst out, ""You missed a spot""."
29,Basic VII,decimation,noun: destroying or killing a large part of the population,The decimation after atomic bombs were dropped on Hiroshima and Nagasaki is incomprehensible.
30,Basic VII,dispatch,noun: the property of being prompt and efficient,"She finished her thesis with dispatch, amazing her advisors who couldn't believe she had written 60 scholarly pages so quickly."
31,Basic VII,abysmal,adjective: extremely bad,Coach Ramsey took his newest player off the field after watching a few painful minutes of her abysmal performance.
32,Basic VII,amply,adverb: more than is adequate,The boat was amply supplied for its year at sea—no man would go hungry or thirsty.
33,Basic VII,misogynist,noun: a person who dislikes women in particular,"Many have accused Hemingway of being a quiet misogynist, but recently unearthed letters argue against this belief."
34,Basic VII,resignation,noun: the acceptance of something unpleasant that can't be avoided,"Since Jack could not think of a convincing reason why he had to miss the seminar, he attended it with a sense of resignation."
35,Basic VII,deliberate,verb: think about carefully; weigh the pros and cons of an issue,Emergency situations such as this call for immediate action and leave no room to deliberate over options.
36,Basic VII,futile,adjective: producing no result or effect; unproductive of success,"I thought I could repair the car myself, but after two days of work with no success, I have to admit that my efforts were futile."
37,Basic VII,miscreant,noun: a person who breaks the law,"""Come back you miscreant!"" yelled the woman who just had her purse stolen."
38,Basic VII,compound,"verb: make more intense, stronger, or more marked","Her headache was compounded by the construction crew outside, which had six jackhammers going at the same time."
39,Basic VII,vie,verb: compete for something,"While the other teams in the division actively vie for the championship, this team seems content simply to go through the motions of playing."
40,Basic VII,inkling,noun: a slight suggestion or vague understanding,"Lynne speaks four Romance languages, but she doesn't have an inkling about how East Asian languages are structured."
41,Basic VII,excruciating,adjective: extremely painful,"After the boulder rolled a couple of feet, pinning my friend's arm, he experienced excruciating pain."
42,Basic VII,morph,verb: To undergo dramatic change in a seamless and barely noticeable fashion.,The earnestness of the daytime talk shows of the 1970's has morphed into something far more sensational and vulgar: today guests actually stand up and threaten to take swings at one another.
43,Basic VII,provisional,adjective: under terms not final or fully worked out or agreed upon,"Until the corporate office hands down a definitive decision on use of the extra offices, we will share their use in a provisional arrangement."
44,Basic VII,obliging,adjective: showing a cheerful willingness to do favors for others,"Even after all his success, I found him to be accommodating and obliging, sharing with me his ""secret tips"" on how to gain wealth and make friends."
45,Basic VII,relegate,verb: assign to a lower position,"When Dexter was unable to fulfill his basic duties, instead of firing him, the boss relegated him to kitchen cleanup."
46,Basic VII,boorish,adjective: ill-mannered and coarse or contemptible in behavior or appearance,Bukowski was known for being a boorish drunk and alienating close friends and family.
47,Basic VII,Magoosh Score Guarantee,noun: Magoosh guarantees a 5 point increase in your score if you've taken the GRE before. Learn more at http://gre.magoosh.com,"With Magoosh, Josh was able to increase his GRE score by 7 points and didn't need to take advantage of the Magoosh score guarantee."
48,Basic VII,enumerate,verb: determine the number or amount of,The survey enumerates the number of happy workers and the number of unhappy workers.
49,Basic VII,evasive,adjective: avoiding or escaping from difficulty or danger or commitment,His responses were clearly evasive; he obviously did not want to take on any responsibility or any new work.
50,Basic VII,antiquated,adjective: old-fashioned; belonging to an earlier period in time,"Aunt Betty had antiquated notions about marriage, believing that a man should court a woman for at least a year before receiving a kiss."
