,deck,word,meaning,example
34,Basic III,apprehension,noun: fearful expectation,"Test day can be one of pure apprehension, as many students worry about their test scores."
35,Basic III,thwart,"verb: hinder or prevent (the efforts, plans, or desires) of","I wanted to spend a week in New York this autumn, but the high costs of travel and lodging thwarted my plans."
36,Basic III,archaic,adjective: so old as to appear to belong to a different period,"Hoping to sound intelligent, Mary spoke in archaic English that was right out of Jane Austen's Pride and Prejudice--needless to say, she didn't have many friends."
37,Basic III,obdurate,adjective: unable to be persuaded or moved emotionally; stubborn; unyielding.,No number of pleas and bribes would get him to change his obdurate attitude.
38,Basic III,stolid,adjective: having or revealing little emotion or sensibility; not easily aroused or excited,"Elephants may appear stolid to casual observers, but they actually have passionate emotional lives."
39,Basic III,autonomously,adverb: Acting independently; self-governing (of a country),Many of the factory workers are worried about being replaced by machines and computers that will work completely autonomously.
40,Basic III,dearth,noun: a lack or shortage,I am surprised by the dearth of fast food chains; this is America and I assumed they were on every street.
41,Basic III,avid,adjective: marked by active interest and enthusiasm,"Martin is an avid birdwatcher, often taking long hikes into remote mountains to see some rare eagle."
42,Basic III,impermeable,adjective: does not allow fluids to pass through,"The sand bags placed on the river formed an impermeable barrier, protecting the town from flooding."
43,Basic III,ornate,adjective: marked by elaborate rhetoric and elaborated with decorative details,The ornate Victorian and Edwardian homes spread throughout San Francisco are my favorite part of the city.
44,Basic III,moot,adjective: open to argument or debate; undecidable in a meaningless or irrelevant way,"Since the Board just terminated Steve as the CEO, what the finance committee might have thought of his proposed marketing plan for next year is now a moot point."
45,Basic III,stolid,adjective: having or revealing little emotion or sensibility; not easily aroused or excited,"Elephants may appear stolid to casual observers, but they actually have passionate emotional lives."
46,Basic III,resolve,verb: reach a conclusion after a discussion or deliberation,"After much thought, Ted resolved not to travel abroad this summer because he didn't have much money in his bank account."
47,Basic III,impede,verb: be a hindrance or obstacle to,"Since the police sergeant had to train the pair of new hires, progress in his own case was impeded."
48,Basic III,disheartened,adjective: made less hopeful or enthusiastic,"After the visiting team scored nine times, the home team's fans were disheartened, some leaving the game early."
49,Basic III,quandary,noun: state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options,"Steve certainly is in a quandary: if he doesn't call Elaine, she will blame him for everything, but if he does call her, the evidence of where he currently is could cost him his job."
50,Basic III,discriminate,verb: recognize or perceive the difference,"Sarah couldn't discriminate between a good wine and a bad wine, so she avoided wine tastings."
51,Basic III,fledgling,"adjective: young and inexperienced
noun: any new participant in some activity","Murray has years of experience in family practice, but he is just a fledgling in surgery."
