,deck,word,meaning,example
24,Advanced VI,proselytize,"verb: convert (someone) to another religion, philosophy, or perspective","Lisa loves her Mac but says little about it; by contrast, Jake will proselytize, interrogating anyone with an Android about why she didn't purchase an iPhone."
25,Advanced VI,abjure,verb: formally reject or give up (as a belief),"While the church believed that Galileo abjured the heliocentric theory under threat of torture, he later wrote a book clearly supporting the theory."
26,Advanced VI,afford,verb: provide with an opportunity,The summit of Mt. Kilimanjaro affords a panoramic view that encompasses both Tanzania and Kenya.
27,Advanced VI,hauteur,noun: overbearing pride evidenced by a superior manner toward inferiors,"As soon as she won the lottery, Alice began displaying a hauteur to her friends, calling them dirty-clothed peasants behind their backs."
28,Advanced VI,mendicant,noun: a pauper who lives by begging,"Tolstoy was an aristocrat, but he strove to understand the Christianity of the Russian peasants by wandering among them as a mendicant."
29,Advanced VI,noisome,adjective: having an extremely bad smell,"Each August, when the winds moved in a south easterly direction, the garbage dump would spread noisome vapors through the small town."
30,Advanced VI,desideratum,noun: something desired as a necessity,The desideratum of the environmental group is that motorists should rely on carpooling.
31,Advanced VI,inequity,noun: injustice by virtue of not conforming with rules or standards,"After decades of racial inequity, the ""separate but equal"" doctrine was successfully overturned."
32,Advanced VI,elegiac,adjective: expressing sorrow,Few can listen to the elegiac opening bars of the Moonlight sonata without feeling the urge to cry.
33,Advanced VI,impugn,verb: attack as false or wrong,"Though many initially tried to impugn Darwin's theory, in scientific circles today, the idea is taken as truth."
34,Advanced VI,ethereal,adjective: characterized by lightness and insubstantiality,"Because she dances with an ethereal style, ballet critics have called her Madame Butterfly."
35,Advanced VI,conflate,verb: mix together different elements or concepts,"In her recent book, the author conflates several genres--the detective story, the teen thriller, and the vampire romance--to create a memorable read."
36,Advanced VI,discursive,adjective: (of e.g. speech and writing) tending to depart from the main point,"Many readers find it tough to read Moby Dick since the author is discursive, often cutting the action short to spend 20 pages on the history of a whale."
37,Advanced VI,pellucid,adjective: transparently clear; easily understandable,The professor had a remarkable ability to make even the most difficult concepts seem pellucid.
38,Advanced VI,appropriate,verb: to give or take something by force,"The government appropriated land that was occupied by squatters, sending them scurrying for another place to live."
39,Advanced VI,facile,adjective: arrived at without due care or effort; lacking depth,"Many news shows provide facile explanations to complex politics, so I prefer to read the in-depth reporting of The New York Times."
40,Advanced VI,aplomb,noun: great coolness and composure under strain,Nancy acted with aplomb during dangerous situations--she once calmly climbed up an oak tree to save a cat.
41,Advanced VI,dolorous,adjective: showing sorrow,Chopin's ballades are filled with sharp changes in moods--a dolorous melody can give way to a lighthearted tempo.
42,Advanced VI,fecund,adjective: intellectually productive,"The artist had entered a fecund period, producing three masterpieces in the span of two months."
43,Advanced VI,unassailable,adjective: immune to attack; without flaws,"Professor Williams is so self-assured as to seem arrogant, presenting each and every opinion as an unassailable fact."
44,Advanced VI,conflagration,noun: a very intense and uncontrolled fire,"In the summer months, conflagrations are not uncommon in the southwest, due to the heat and lack of rain."
45,Advanced VI,obtuse,adjective: slow to learn or understand; lacking intellectual acuity; lacking in insight or discernment,Jackson was the most obtuse member of the team: the manager's subtle ironies were always lost on him.
46,Advanced VI,transmute,"verb: change or alter in form, appearance, or nature",One of the goals of alchemy was to find the substance or process that would transmute lead into gold.
47,Advanced VI,unassailable,adjective: immune to attack; without flaws,"Professor Williams is so self-assured as to seem arrogant, presenting each and every opinion as an unassailable fact."
48,Advanced VI,bridle,verb: the act of restraining power or action or limiting excess,New curfew laws have bridled people's tendency to go out at night.
49,Advanced VI,doughty,adjective: brave; bold; courageous,I enjoy films in which a doughty group comes together to battle a force of evil.
50,Advanced VI,stultify,"verb: cause one, through routine, to lose energy and enthusiasm","As an undergraduate Mark felt stultified by classes outside his area of study; only in grad school, in which he could focus solely on literary analysis, did he regain his scholarly edge."
