,deck,word,meaning,example
22,Common Words III,Magoosh Free Trial,noun: A sample of lesson videos and practice questions to see if Magoosh is right for you. Learn more at http://gre.magoosh.com,Rachel tried the Magoosh free trial to determine if the premium Magoosh service was worth purchasing.
23,Common Words III,circumvent,verb: cleverly find a way out of one's duties or obligations,One way of circumventing the GRE is to apply to a grad school that does not require GRE scores.
24,Common Words III,disaffected,adjective: discontented as toward authority,"After watching his superior take rations from the soldiers, he quickly became disaffected and rebelled."
25,Common Words III,itinerant,adjective: traveling from place to place to work,"Doctors used to be itinerant, traveling between patients' homes."
26,Common Words III,ephemeral,adjective: lasting a very short time,"The lifespan of a mayfly is ephemeral, lasting from a few hours to a couple of days."
27,Common Words III,avaricious,adjective: excessively greedy,Since avaricious desire is similar to gluttony or lust--sins of excess--it was listed as one of the seven deadly sins by the Catholic church.
28,Common Words III,panache,noun: distinctive and showy elegance,"Jim, with his typical panache, came to the wedding reception with a top hat and cane."
29,Common Words III,precocious,adjective: characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude),"Though only seven years old, she was a precocious chess prodigy, able to beat players twice her age."
30,Common Words III,jubilant,adjective: full of high-spirited delight because of triumph or success,"My hardwork paid off, and I was jubilant to receive a perfect score on the GRE."
31,Common Words III,vilify,verb: spread negative information about,"Todd was noble after the divorce, choosing to say only complimentary things about Barbara, but Barbara did not hesitate to vilify Todd."
32,Common Words III,unequivocal,adjective: admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion,"The President's first statement on the subject was vague and open to competing interpretations, so when he spoke to Congress about the same subject later, he was careful to make his position completely unequivocal."
33,Common Words III,contrive,"verb: to pull off a plan or scheme, usually through skill or trickery","Despite a low GPA, he contrived to get into college, going so far as to write his own glowing letters of recommendation."
34,Common Words III,supplant,verb: take the place or move into the position of,"For many, a cell phone has supplanted a traditional phone; in fact, most 20-somethings don't even have a traditional phone anymore."
35,Common Words III,quotidian,adjective: found in the ordinary course of events,"Phil gets so involved thinking about Aristotle's arguments that he totally forgets quotidian concerns, such as exercising and eating regularly."
36,Common Words III,ascetic,adjective: practicing self-denial,"His ascetic life is the main reason he inspired so many followers, especially since he gave up wealth and power to live in poverty."
37,Common Words III,ameliorate,verb: make something bad better,"""Three Cups of Tea"" tells the story of western man who hopes to ameliorate poverty and the lack of education in Afghanistan."
38,Common Words III,insidious,adjective: working in a subtle but destructive way,"Plaque is insidious: we cannot see it, but each day it eats away at our enamel, causing cavities and other dental problems."
39,Common Words III,refractory,adjective: stubbornly resistant to authority or control,"Used to studious high school students, Martha was unprepared for the refractory Kindergarteners who neither sat still nor listened to a single word she said."
40,Common Words III,vehement,adjective: marked by extreme intensity of emotions or convictions,"While the other employees responded to the bad news in a measured way, Andrew responded in a vehement manner, tipping over his desk and shouting at the top of his lungs."
41,Common Words III,juxtapose,verb: place side by side for contrast,The appeal of her paintings comes from a classical style which is juxtaposed with modern themes.
42,Common Words III,subsume,verb: contain or include,"The rogue wave quickly subsumed the pier and boardwalk, destroying everything in its path."
43,Common Words III,belligerent,adjective: characteristic of one eager to fight,"Tom said that he was arguing the matter purely for philosophical reasons, but his belligerent tone indicated an underlying anger about the issue."
44,Common Words III,derivative,"adjective: not original but drawing strongly on something already in existence, especially in reference to a creative product (e.g. music, writing, poetry etc.).","Because the movies were utterly derivative of other popular movies, they did well at the box office."
45,Common Words III,denote,verb: be a sign or indication of; have as a meaning,"Even if the text is not visible, the red octagon denotes ""stop"" to all motorists in America."
46,Common Words III,jingoism,noun: fanatical patriotism,North Korea maintains intense control over its population through a combination of jingoism and cult of personality.
47,Common Words III,insidious,adjective: working in a subtle but destructive way,"Plaque is insidious: we cannot see it, but each day it eats away at our enamel, causing cavities and other dental problems."
48,Common Words III,eminent,adjective: standing above others in quality or position,"Shakespeare is an eminent author in the English language, but I find his writing uninteresting and melodramatic."
49,Common Words III,immutable,adjective: not able to be changed,"Taxes are one of the immutable laws of the land, so there is no use arguing about paying them."
50,Common Words III,languid,adjective: not inclined towards physical exertion or effort; slow and relaxed,"As the sun beat down and the temperature climbed higher, we spent a languid week lying around the house."
51,Common Words III,haughty,adjective: having or showing arrogant superiority to and disdain of those one views as unworthy,The haughty manager didn't believe that any of his subordinates could ever have an insight as brilliant as his own.
