,deck,word,meaning,example
20,Advanced III,anodyne,noun: something that soothes or relieves pain,"Muzak, which is played in department stores, is intended to be an anodyne, but is often so cheesy and over-the-top that customers become irritated."
21,Advanced III,provident,adjective: careful in regard to your own interests; providing carefully for the future,"In a move that hardly could be described as provident, Bert spent his entire savings on a luxurious cruise, knowing that other bills would come due a couple months later."
22,Advanced III,enjoin,verb: give instructions to or direct somebody to do something with authority,The government agency enjoined the chemical company to clean up the hazardous dump it had created over the years.
23,Advanced III,hail,verb: enthusiastically acclaim or celebrate something,"Many college superstar athletes are hailed as the next big thing, but then flop at the professional level."
24,Advanced III,illustrious,adjective: widely known and esteemed; having or conferring glory,Einstein was possibly the most illustrious scientist in recent history.
25,Advanced III,gaffe,noun: a socially awkward or tactless act,"In a famous gaffe, Vice President Quayle attempted to correct the spelling of a grade school student, only to find that the child was correct."
26,Advanced III,importune,verb: beg persistently and urgently,"After weeks of importuning the star to meet for a five-minute interview, the journalist finally got what she wanted."
27,Advanced III,mordant,"adjective: biting and caustic in thought, manner, or style","While Phil frequently made mordant remarks about company policy overall, he always was considerably gentler in discussing any person in particular."
28,Advanced III,insouciance,noun: lack of concern,"Surprisingly, Hank had become a high-powered CEO; his high school friends remembered him as ""Hanky Panky"", who shrugged off each failed class with insouciance."
29,Advanced III,epiphany,noun: a sudden revelation or moment of insight,Gary one day had an epiphany that he was a people person; he promptly quit his factory job and began working as a salesman.
30,Advanced III,duplicity,"noun: deceitfulness, pretending to want one thing but interested in something else",A life of espionage is one of duplicity: an agent must pretend to be a totally different person than who she or he actually is.
31,Advanced III,plucky,adjective: marked by courage and determination,"Some scouts initially doubted Pedroia because of his short stature, but he is a plucky player, surprising everyone with his boundless energy and fierce determination."
32,Advanced III,recapitulation,noun: a summary (think of recap),Every point of the professors lesson was so clear that the students felt his concluding recapitulation was not necessary.
33,Advanced III,lampoon,verb: ridicule with satire,Mark Twain understood that lampooning a bad idea with humor was the most effective criticism.
34,Advanced III,redoubtable,adjective: inspiring fear or awe,"On television basketball players don't look that tall, but when you stand in front of a seven-foot tall NBA player, he is truly redoubtable."
35,Advanced III,grandiloquent,adjective: puffed up with vanity,"The dictator was known for his grandiloquent speeches, puffing his chest out and using big, important-sounding words."
36,Advanced III,umbrage,noun: a feeling of anger caused by being offended,"Since he was so in love with her, he took umbrage at her comments, even though she had only meant to gently tease him."
37,Advanced III,maunder,verb: wander aimlessly,Max liked to maunder down by the seaside and pick up whatever sea shells he would stumble upon.
38,Advanced III,solecism,noun: a socially awkward or tactless act,Mother Anna was always on guard against any solecism from her children and scolded them immediately if any of them talked out of place in public.
39,Advanced III,prognostication,noun: a statement made about the future,"When the Senator was asked about where the negotiations would lead, he said that any guess he could make would be an unreliable prognostication."
40,Advanced III,artlessness,noun: the quality of innocence,"I, personally, found the artlessness of her speech charming."
41,Advanced III,approbatory,adjective: expressing praise or approval,"Although it might not be her best work, Hunter's new novel has received generally approbatory reviews."
42,Advanced III,portentous,adjective: ominously prophetic,"When the captain and more than half the officers were sick on the very first night of the voyage, many of the passengers felt this was portentous, but the rest of the voyage continued without any problems."
43,Advanced III,effrontery,noun: audacious (even arrogant) behavior that you have no right to,"The skateboarders acted with effrontery, skating through the church grounds and spray-painting signs warning trespassers."
44,Advanced III,perspicacious,adjective: acutely insightful and wise,"Many modern observers regard Eisenhower as perspicacious, particularly in his accurate prediction of the growth of the military."
45,Advanced III,charlatan,noun: a flamboyant deceiver; one who attracts customers with tricks or jokes,"You may call him a ""motivational speaker,"" but I call him a charlatan--he doesn't have any idea what he's really talking about."
46,Advanced III,vitriolic,adjective: harsh or corrosive in tone,"While the teacher was more moderate in her criticism of the other student's papers, she was vitriolic toward Peter's paper, casting every flaw in the harshest light."
47,Advanced III,raconteur,noun: a person skilled in telling anecdotes,"Jude is entertaining, but he is no raconteur: beyond the handful of amusing stories he has memorized, he has absolutely no spontaneous story-telling ability."
48,Advanced III,unforthcoming,"adjective: uncooperative, not willing to give up information","The teacher demanded to know who broke the window while he was out of the room, but the students understandably were unforthcoming."
49,Advanced III,sagacious,adjective: having good judgement and acute insight,"Steve Jobs is surely one of the most sagacious CEOs, making Apple one of the most recognizable and valuable companies in the world."
