,deck,word,meaning,example
40,Common Words VI,askance,adverb: with a look of suspicion or disapproval,"The old couple looked askance on the teenagers seated next to them, whispering to each other, ""They've got rings through their noses and purple hair!"""
41,Common Words VI,maverick,noun: someone who exhibits great independence in thought and action,"Officer Kelly was a maverick, rarely following police protocols or adopting the conventions for speech common among his fellow officers."
42,Common Words VI,ignominious,adjective: (used of conduct or character) deserving or bringing disgrace or shame,"Since the politician preached ethics and morality, his texting of revealing photographs was ignominious, bringing shame on both himself and his party."
43,Common Words VI,antipathy,noun: an intense feeling of dislike or aversion,"Maria had an antipathy for tour groups, often bolting to the other side of the museum as soon as she saw a chaperone leading a group of wide-eyed tourists."
44,Common Words VI,duress,noun: compulsory force or threat,The witness said he signed the contract under duress and argued that the court should cancel the agreement.
45,Common Words VI,imprudent,adjective: not wise,"Hitler, like Napoleon, made the imprudent move of invading Russia in winter, suffering even more casualties than Napoleon had."
46,Common Words VI,polemic,noun: a strong verbal or written attack on someone or something.,"The professor launched into a polemic, claiming that Freudian theory was a pack of lies that absolutely destroyed European literary theory."
47,Common Words VI,nuance,noun: a subtle difference in meaning or opinion or attitude,"Because of the nuances involved in this case, I hired an outside consultant to advise us and help."
48,Common Words VI,esoteric,adjective: confined to and understandable by only an enlightened inner circle,"Map collecting is an esoteric hobby to most, but to geography geeks it is a highly enjoyable pastime."
49,Common Words VI,pejorative,adjective: expressing disapproval (usu. refers to a term),"Most psychologists object to the pejorative term ""shrink"", believing that they expand the human mind, not limit it."
50,Common Words VI,capricious,adjective: determined by chance or impulse or whim rather than by necessity or reason,"Nearly every month our capricious CEO had a new plan to turn the company around, and none of them worked because we never gave them the time they needed to succeed."
